[2024-05-05T07:49:57.803+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_5.csv uploaded to pm25_cleaned/2024-05-02_5.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.853+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_3.csv uploaded to pm25_cleaned/2024-05-04_3.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.902+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_4.csv uploaded to pm25_cleaned/2024-05-02_4.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:57.956+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_18.csv uploaded to pm25_cleaned/2024-05-03_18.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.005+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_14.csv uploaded to pm25_cleaned/2024-05-05_14.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.057+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_11.csv uploaded to pm25_cleaned/2024-05-02_11.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.107+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_16.csv uploaded to pm25_cleaned/2024-05-04_16.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.153+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_4.csv uploaded to pm25_cleaned/2024-05-04_4.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.207+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_1.csv uploaded to pm25_cleaned/2024-05-02_1.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.271+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_0.csv uploaded to pm25_cleaned/2024-05-02_0.csv in dw-projec-swu-ds525 bucket
